bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,preco_venda
Vila Sofia,Apartamento,129.0,3.0,1.0,4.0,1.0,441000
Indianópolis,Apartamento,118.0,0.0,1.0,3.0,2.0,805000
Água Branca,Apartamento,71.0,0.0,1.0,2.0,2.0,475299
Moema,Flat,70.0,1.0,1.0,2.0,1.0,662900
Aclimação,Apartamento,105.0,2.0,0.0,3.0,1.0,486499
Cidade Jardim,Flat,32.0,0.0,0.0,1.0,1.0,350000
Cerqueira César,Flat,42.0,1.0,0.0,1.0,1.0,539000
Santo Amaro,Cobertura,178.0,3.0,1.0,3.0,3.0,1225000
Santo Amaro,Apartamento,75.0,2.0,1.0,2.0,1.0,315000
Moema,Cobertura,250.0,0.0,4.0,4.0,3.0,2064999
Vila Sofia,Apartamento,105.0,3.0,1.0,3.0,2.0,411880
Campo Belo,Apartamento,107.0,3.0,1.0,3.0,2.0,593460
Indianópolis,Apartamento,214.0,5.0,2.0,4.0,4.0,1888249
Santo Amaro,Apartamento,45.0,1.0,0.0,1.0,1.0,386400
Parque da Mooca,Apartamento,50.0,0.0,0.0,2.0,1.0,210000
Indianópolis,Apartamento,220.0,4.0,2.0,4.0,3.0,1750000
Vila Santa Catarina,Apartamento,60.0,1.0,0.0,2.0,1.0,241499
Bom Retiro,Apartamento,69.0,0.0,0.0,2.0,0.0,315000
Cerqueira César,Flat,38.0,1.0,1.0,1.0,1.0,237999
Cerqueira César,Apartamento,74.0,1.0,1.0,2.0,2.0,693000
Jardim Paulista,Apartamento,240.0,4.0,2.0,2.0,2.0,2064999
Parque Savoy City,Casa,71.0,1.0,2.0,2.0,2.0,183883
Sítio do Mandaqui,Apartamento,37.0,1.0,0.0,1.0,0.0,84005
Vila Cordeiro,Apartamento,73.0,3.0,2.0,2.0,2.0,630000
Indianópolis,Apartamento,193.0,5.0,3.0,4.0,3.0,1120000
Campo Limpo,Condomínio,320.0,5.0,2.0,4.0,6.0,665000
Vila Suzana,Apartamento,175.0,5.0,3.0,3.0,3.0,805000
Vila Mazzei,Casa de dois andares,260.0,0.0,2.0,3.0,6.0,644000
Horto Florestal,Casa de dois andares,300.0,0.0,3.0,3.0,6.0,1042299
Vila Santos,Condomínio,250.0,5.0,1.0,4.0,3.0,1113000
Vila Mazzei,Casa,76.0,3.0,1.0,3.0,2.0,388500
Cerqueira César,Apartamento,140.0,1.0,1.0,3.0,1.0,1330000
Vila Pompéia,Apartamento,82.0,1.0,1.0,3.0,2.0,596400
